Document,Topic_group,Priority
Disk space urgent onedrive database missing files cloud storage database backup database emergency full drive drive disk space database quota.,Storage,High
Crashing slow slow zoom update help feedback zoom feedback update question update software.,Miscellaneous,Medium
Password authentication update credentials locked out no rush reset reset.,Access,Low
Meeting error update zoom slow update update update software critical error zoom immediately question update help.,Miscellaneous,High
Benefits w2 pto pto w2 vacation payroll insurance insurance.,HR Support,Medium
Pto timesheet benefits benefits payroll onboarding whenever timesheet update insurance onboarding.,HR Support,Low
Credentials locked out password account authentication locked out reset trivial suggestion.,Access,Low
Crashing meeting question meeting update zoom crashing question slow update question meeting.,Miscellaneous,Medium
Backup drive onedrive disk space database disk space disk space quota onedrive onedrive onedrive missing files database database.,Storage,Medium
Keyboard keyboard paper screen keyboard mouse.,Hardware,Medium
Full onedrive update drive no rush quota full missing files backup onedrive database cloud storage drive.,Storage,Low
Vacation timesheet benefits timesheet timesheet w2 onboarding benefits w2 benefits.,HR Support,Medium
Urgent laptop immediately paper printer battery broken monitor.,Hardware,High
Authentication password locked out locked out access denied access denied authentication.,Access,Medium
Paper mouse trivial screen printer laptop paper battery question power printer printer broken power power.,Hardware,Low
Database backup disk space backup full database disk space full.,Storage,Medium
Power broken screen printer broken broken battery wondering screen battery suggestion.,Hardware,Low
Login credentials locked out credentials credentials access denied question login locked out authentication vpn password account vpn locked out wondering.,Access,Low
Battery screen mouse screen monitor screen battery screen mouse laptop power laptop.,Hardware,Medium
W2 pto vacation vacation pto no rush vacation payroll insurance trivial.,HR Support,Low
Disk space cloud storage quota drive backup onedrive drive onedrive cloud storage emergency drive urgent backup drive cloud storage.,Storage,High
Pto benefits insurance w2 insurance timesheet wondering vacation w2 payroll leave benefits onboarding vacation vacation suggestion.,HR Support,Low
Battery screen paper laptop mouse battery paper power mouse broken monitor monitor no rush monitor paper power no rush.,Hardware,Low
Payroll urgent leave immediately vacation pto payroll payroll.,HR Support,High
Password account whenever reset login authentication access denied locked out update.,Access,Low
Cloud storage database missing files backup onedrive missing files drive broken emergency quota backup.,Storage,High
Reset locked out authentication access denied reset account locked out account vpn account.,Access,Medium
Credentials access denied reset login account credentials vpn.,Access,Medium
Printer question keyboard update paper mouse power keyboard screen broken broken printer keyboard.,Hardware,Low
Onboarding onboarding insurance onboarding timesheet timesheet benefits insurance benefits.,HR Support,Medium
Question benefits vacation timesheet pto question insurance pto onboarding w2 vacation benefits vacation pto payroll pto benefits.,HR Support,Low
Feedback asap error meeting all users slow help crashing software question error help zoom software.,Miscellaneous,High
Drive database database disk space database onedrive onedrive drive.,Storage,Medium
Timesheet timesheet payroll w2 pto insurance insurance.,HR Support,Medium
Monitor battery mouse mouse battery keyboard broken battery.,Hardware,Medium
Benefits critical leave vacation payroll pto vacation vacation w2 insurance urgent insurance w2 payroll leave.,HR Support,High
Database quota trivial onedrive database full missing files disk space missing files backup whenever.,Storage,Low
Access denied locked out vpn wondering reset authentication reset vpn locked out locked out access denied whenever login account password.,Access,Low
All users crashing all users slow help question feedback error software feedback.,Miscellaneous,High
Question error meeting slow help question question.,Miscellaneous,Medium
Cloud storage backup drive cloud storage trivial database full whenever missing files backup onedrive full full drive full disk space backup.,Storage,Low
Credentials locked out credentials vpn credentials login authentication access denied reset account authentication access denied password.,Access,Medium
Update update error help whenever whenever software zoom slow crashing.,Miscellaneous,Low
Insurance onboarding w2 benefits w2 benefits onboarding onboarding w2 pto vacation benefits insurance.,HR Support,Medium
Update question error software error zoom no rush update question question.,Miscellaneous,Low
Meeting error meeting feedback software zoom update software whenever no rush.,Miscellaneous,Low
Full database drive disk space trivial database onedrive wondering missing files full quota cloud storage backup cloud storage database full full.,Storage,Low
Mouse battery printer update suggestion paper monitor broken power power.,Hardware,Low
Vacation question payroll no rush w2 timesheet leave leave.,HR Support,Low
No rush benefits pto benefits benefits payroll payroll payroll w2 onboarding whenever onboarding pto vacation.,HR Support,Low
Help question update software crashing crashing zoom meeting software.,Miscellaneous,Medium
Critical timesheet pto pto w2 insurance payroll asap.,HR Support,High
Help slow update meeting suggestion question error slow crashing update.,Miscellaneous,Low
Password password access denied authentication reset access denied authentication login.,Access,Medium
